Geography,Area,Area code,Year,theme,Mean disposable household income,Income 1st quintile,Income 2nd quintile,Income 3rd quintile,Income 4th quintile,Income 5th quintile,Gini coefficient,Gini coefficient capital,% Minimum income households (130% sm and little capital),% Long-time minimum income (130% sm and little capital),% Low income households (130% sm),% Minimum income youth (130% sm and little capital),% Minimum income 18-65 (130% sm and little capital),% Minimum income 66+ (130% sm and little capital),% Long-time minimum income youth (130% sm and little capital),Househoulds children social welfare benefits,% Househoulds children social welfare benefits,Disability benefits,Disability benefits (%),Unemployment benefits,Unemployment benefits (%),% economically independent men,% economically indepdent women,Social welfare,Social welfare (%)
Wijken,Slotermeer-West,FC,2021,Income,36300,35,23,19,13,9,0.329,0.833,27,15,31,25,20,34,17,240,18.4,660,8.7,240,3.2,55,37,821,10.8
Wijken,Slotermeer-Noordoost,FD,2021,Income,36300,36,24,18,13,10,0.332,0.806,27,16,31,29,21,32,19,210,19,510,7.8,200,3.1,56,43,-,-
Wijken,Slotermeer-Zuidoost,FE,2021,Income,35900,40,21,17,12,10,0.346,0.813,25,13,30,22,18,33,13,110,15.5,310,6.2,170,3.4,61,50,509,10.2
Wijken,Lutkemeer/Ookmeer,FF,2021,Income,53800,26,18,15,12,28,0.418,0.716,10,6,17,12,8,8,10,-,-,40,4.7,-,-,66,51,-,-
Wijken,De Aker,FG,2021,Income,54900,18,17,18,19,28,0.352,0.674,10,5,14,8,6,14,4,85,5,620,6.1,280,2.8,67,56,-,-
Wijken,De Punt,FH,2021,Income,37600,32,21,19,17,10,0.327,0.741,18,8,23,11,11,27,6,40,5.9,320,7.4,130,3,65,50,-,-
Wijken,Osdorp-Midden,FJ,2021,Income,40200,31,23,18,15,13,0.341,0.804,23,13,26,22,16,36,14,260,13.3,800,7.5,300,2.8,60,47,-,-
Wijken,Osdorp-Oost,FK,2021,Income,37600,34,24,17,13,11,0.339,0.821,22,13,28,26,17,24,16,285,16,820,7.1,360,3.1,61,47,-,-
Wijken,Slotervaart-Noord,FL,2021,Income,42200,30,22,18,14,16,0.353,0.779,20,11,24,21,14,25,12,115,12,330,6,190,3.5,62,51,-,-
Wijken,Overtoomse Veld,FM,2021,Income,43800,24,23,20,17,17,0.333,0.828,17,11,20,22,13,40,15,205,11.4,550,4.9,340,3,65,55,-,-
Wijken,Slotervaart-Zuid,FN,2021,Income,38600,32,25,18,13,12,0.339,0.831,22,12,26,27,17,23,16,195,17.2,470,6.2,220,2.9,57,46,-,-
Wijken,Westlandgracht,FP,2021,Income,44900,29,23,18,14,16,0.393,0.852,16,8,19,23,12,27,14,130,15.2,300,3.2,300,3.2,69,62,-,-
Wijken,Sloten/Nieuw-Sloten,FQ,2021,Income,55700,16,16,19,20,29,0.343,0.679,7,3,11,4,4,11,1,35,2.4,580,5.9,320,3.2,70,61,-,-
Wijken,Hoofddorppleinbuurt,KA,2021,Income,54900,22,19,17,17,25,0.404,0.806,9,5,14,6,6,18,4,40,3.6,320,3.4,300,3.2,77,72,-,-
